"id";"Штрихкод";"Группа товаров";"Наименование товара";"Размер";"Цвет";"Остаток";"Цена";"Фото";"Артикул";"Страна-производитель";"Код товара";"Атрибут4"
11048;2200000010247;;Пакет MENZER;50*40;Зеленый;82;1;;0001 MENZER пакет;;0R-00000260;4
11180;2200000011589;;Пакет MENZER;30*40;Зеленый;-13;1;;0001 MENZER пакет;;0R-00000260;4
11050;2200000010261;;Пакет Van Cliff;60*50;Белый;;;;0002 Van Cliff пакет;;0R-00000262;4
11049;2200000010254;;Пакет VENTO;70*50;Коричневый;25;1;;0002 VENTO пакет;;0R-00000261;4
1494;2404000000042;Пиджаки;Пиджак Utes 1294;48;Темно-коричневый;;;;1294;Италия;П0000000177;4
2341;2404000000059;Пиджаки;Пиджак Utes 1294;50;Темно-коричневый;;;;1294;Италия;П0000000177;4
3002;2404000000066;Пиджаки;Пиджак Utes 1294;52;Темно-коричневый;;;;1294;Италия;П0000000177;4
3693;2404000000073;Пиджаки;Пиджак Utes 1294;54;Темно-коричневый;;;;1294;Италия;П0000000177;4
2247;2404000000097;Пиджаки;Пиджак Utes 1336;50;Синий;;;;1336;Италия;П0000000178;4
2968;2404000000103;Пиджаки;Пиджак Utes 1336;52;Синий;;;;1336;Италия;П0000000178;4
3616;2404000000110;Пиджаки;Пиджак Utes 1336;54;Синий;;;;1336;Италия;П0000000178;4
4199;2404000000127;Пиджаки;Пиджак Utes 1336;56;Синий;1;16880;;1336;Италия;П0000000178;4
2773;2404000000141;Пиджаки;Пиджак Utes 1337;52;Коричневый;;;;1337;Италия;П0000000179;4
3460;2404000000158;Пиджаки;Пиджак Utes 1337;54;Коричневый;;;;1337;Италия;П0000000179;4
9439;2000000024684;Шарфы/платки;Платок большой жен. 003;;;;1350;;003;Турция;00000000917;4
9440;2000000024691;Шарфы/платки;Платок маленький жен. 004;;;;250;;004;Турция;00000000918;4
9442;2000000026022;Шарфы/платки;Платок-шарф жен. 007;;;;650;;007;Турция;00000000944;4
9433;2000000026015;Шарфы/платки;Платок-шарф жен. шелк 006;;;;850;;006;Турция;00000000943;4
9441;2000000026008;Шарфы/платки;Платок-шарф жен. шифон 005;;;;570;;005;Турция;00000000942;4
9638;2000000022680;Шарфы/платки;Шарф 1080;;;;1350;;1080;Турция;00000000854;4
9435;2000000022697;Шарфы/платки;Шарф 1081;;;;1100;;1081;Турция;00000000855;4
9523;2000000025513;Шарфы/платки;Шарф Bitef 006;б/р;Белый;1;1650;;006;Турция;00000000933;4
179;2200000003621;Шарфы/платки;Шарф Canoe 3440843 STEP;--;Коричневый;1;2150;;3440843;;0R-00000109;4
114;2404000049416;Шарфы/платки;Шарф Canoe 3440844 STEP;---;Темно-голубой;2;2150;;3440844;РОССИЯ;УТ000001248;4
16;2404000049409;Шарфы/платки;Шарф Canoe 3441491 STEP;---;Антрацит;;1970;;3441491;РОССИЯ;УТ000001247;4
150;2404000052539;Шарфы/платки;Шарф Canoe 3441493 STEP;---;Темно-синий;;2150;;3441493;РОССИЯ;УТ000001378;4
124;2404000049393;Шарфы/платки;Шарф Canoe 3441497 STEP;---;Темно-серый;;2150;;3441497;РОССИЯ;УТ000001246;4
163;2404000050320;Шарфы/платки;Шарф Canoe 3447551 SHER ;---;Черный;1;4350;;3447551;РОССИЯ;УТ000001292;4
184;2200000003614;Шарфы/платки;Шарф Canoe 3447554 SHER ;--;Синий;1;4350;;3447554;;0R-00000108;4
71;2404000050344;Шарфы/платки;Шарф Canoe 3447557 SHER ;---;Серый;2;4350;;3447557;РОССИЯ;УТ000001294;4
27;2404000049430;Шарфы/платки;Шарф Canoe 4805822 CIVIL;---;Бордовый;;5100;;4805822;РОССИЯ;УТ000001250;4
22;2404000049423;Шарфы/платки;Шарф Canoe 4805850 CIVIL;---;Бежевый;;5100;;4805850;РОССИЯ;УТ000001249;4
9434;2000000022673;Шарфы/платки;Шарф Cavelli 01;;;;1650;;01;Турция;00000000853;4
9437;2000000022727;Шарфы/платки;Шарф CSD 001;;;;;;001;Турция;00000000858;4
9438;2000000024677;Шарфы/платки;Шарф DRV 002;;;;1650;;002;Турция;00000000916;4
9487;2404000014063;Шарфы/платки;Шарф Fabretti 001;б/р;---;;1650;;001;Италия;УТ000000286;4
9502;2404000014070;Шарфы/платки;Шарф Fabretti 002;б/р;---;;1050;;002;Италия;УТ000000288;4
9501;2404000014087;Шарфы/платки;Шарф Fabretti 003;б/р;---;;950;;003;Италия;УТ000000289;4
9500;2404000014094;Шарфы/платки;Шарф Fabretti 004;б/р;---;;1470;;004;Италия;УТ000000290;4
106;2404000037666;Шарфы/платки;Шарф Fabretti 1402-2;---;Синий;;1950;;1402-2;Италия;УТ000000948;4
9522;2404000018603;Шарфы/платки;Шарф Fabretti 1402-3;б/р;---;;1750;;1402-3;Италия;УТ000000433;4
9495;2404000018597;Шарфы/платки;Шарф Fabretti 1514-4;б/р;---;;1750;;1514-4;Италия;УТ000000432;4
9456;2404000015077;Шарфы/платки;Шарф Fabretti 2865-22;б/р;---;;2950;;2865-22;Италия;УТ000000321;4
9484;2404000015329;Шарфы/платки;Шарф Fabretti 2865-31;б/р;---;;2990;;2865-31;Италия;УТ000000346;4
9457;2404000015084;Шарфы/платки;Шарф Fabretti 2874-11;б/р;---;;2950;;2874-11;Италия;УТ000000322;4
9460;2404000015107;Шарфы/платки;Шарф Fabretti 3297;б/р;---;;1750;;3297;Италия;УТ000000324;4
9521;2404000018610;Шарфы/платки;Шарф Fabretti 5231-1;б/р;---;;1750;;5231-1;Италия;УТ000000434;4
19;2404000031947;Шарфы/платки;Шарф Fabretti 6010-23 /45x180/;---;Бежевый;;2650;;6010-23;Италия;УТ000000793;4
9464;2404000015145;Шарфы/платки;Шарф Fabretti 846094-0300;б/р;---;;1750;;846094-0300;Италия;УТ000000328;4
60;2404000050672;Шарфы/платки;Шарф Fabretti B059-2 /30x194/;---;Серо-черный;;1750;;B059-2;Италия;УТ000001305;4
74;2404000031923;Шарфы/платки;Шарф Fabretti BG15161-2 /47x182/;---;Серый;;2100;;BG15161-2;Италия;УТ000000791;4
87;2404000050931;Шарфы/платки;Шарф Fabretti BG15165-2 /47x174/;---;Серый;;1850;;BG15165-2;Италия;УТ000001331;4
149;2404000050832;Шарфы/платки;Шарф Fabretti BW18112-1 /91х193/;---;Темно-синий;;2450;;BW18112-1;Италия;УТ000001321;4
9467;2404000015169;Шарфы/платки;Шарф Fabretti FGR757;б/р;---;;1750;;FGR757;Италия;УТ000000330;4
68;2404000031848;Шарфы/платки;Шарф Fabretti FS3114-1 /60x180/;---;Серый;;1750;;FS3114-1;Италия;УТ000000783;4
69;2404000031855;Шарфы/платки;Шарф Fabretti FS3114-2 /60x180/;---;Серый;;1550;;FS3114-2;Италия;УТ000000784;4
9518;2404000018566;Шарфы/платки;Шарф Fabretti GY-3294;б/р;---;;1750;;GY-3294;Италия;УТ000000429;4
9483;2404000015312;Шарфы/платки;Шарф Fabretti GY-3296;б/р;---;;1600;;GY-3296;Италия;УТ000000345;4
86;2404000050924;Шарфы/платки;Шарф Fabretti GYD011-3 /60х182/;---;Серый;;2750;;GYD011-3;Италия;УТ000001330;4
76;2404000031954;Шарфы/платки;Шарф Fabretti GYHY129-A /40x183/;---;Серый;;2760;;GYHY129-A;Италия;УТ000000794;4
23;2404000031961;Шарфы/платки;Шарф Fabretti GYHY129-C /40x183/;---;Бежевый;;2760;;GYHY129-C;Италия;УТ000000795;4
9485;2404000015336;Шарфы/платки;Шарф Fabretti HS1103-17-1106;б/р;---;;1750;;HS1103-17-1106;Италия;УТ000000347;4
135;2404000037673;Шарфы/платки;Шарф Fabretti HYJ005-3 /45x183/;---;Темно-синий;;2750;;HYJ005-3;Италия;УТ000000930;4
66;2404000031831;Шарфы/платки;Шарф Fabretti JCJ64-2 /70x180/;---;Серый;;1450;;JCJ64-2;Италия;УТ000000782;4
25;2404000031824;Шарфы/платки;Шарф Fabretti JCJ64-3 /70x180/;---;Бордовый;;1450;;JCJ64-3;Италия;УТ000000781;4
41;2404000037680;Шарфы/платки;Шарф Fabretti JCJ64-3 /70x180/;---;Мультиколор;;1750;;JCJ64-3;Италия;УТ000000781;4
38;2404000037628;Шарфы/платки;Шарф Fabretti JCJ64-5 /70x180/;---;Мультиколор;;;;JCJ64-5;Италия;УТ000000780;4
92;2404000031817;Шарфы/платки;Шарф Fabretti JCJ64-5 /70x180/;---;Серый;;1450;;JCJ64-5;Италия;УТ000000780;4
9488;2404000015350;Шарфы/платки;Шарф Fabretti KK DKGREY;б/р;---;;1790;;KK DKGREY;Италия;УТ000000349;4
